vin|year|make|model|trim|dealer_name|dealer_street|dealer_city|dealer_state|dealer_zip|listing_price|listing_mileage|used|certified|style|driven_wheels|engine|fuel_type|exterior_color|interior_color|seller_website|first_seen_date|last_seen_date|dealer_vdp_last_seen_date|listing_status
JN8AZ18W39W118499|2009|Nissan|Murano|LE|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|7995|154250|TRUE|FALSE|AWD LE 4dr SUV|AWD|3.5L V6|Gasoline|Silver|Charcoal|https://www.clearchoiceautomotive.com|2022-02-27|2022-08-17||
1FMSK7DHXNGC01846|2022|Ford|Explorer XLT SUV|XLT|Weber Motor Company|1402 E Broadway St|Cuero|TX|77954|45145||FALSE|FALSE|SUV|Rear Wheel Drive|2.3L EcoBoost I-4 Engine with Auto Start-Stop Technology|Gasoline|Stone Blue|Activex™ Seating Material - Sandstone|https://www.webermotorcompany.com|2022-07-07|2022-08-17|2022-08-17|in_transit
3GTP1VE06DG324797|2013|GMC|Sierra SLE|SLE w/ Power Tech Package|Clear Choice Automotive|3803 San Pedro Ave|San Antonio|TX|78212|15992|187274|TRUE|FALSE|pickup_truck|RWD|ENGINE, VORTEC 5.3L VARIABLE VALVE TIMING V8 SFI FLEXFUEL WITH ACTIVE FUEL MANAGEMENT|Flex Fuel Vehicle|Steel Gray Metallic Exterior|Ebony|https://clearchoiceautosales.net|2022-04-07|2022-08-17|2022-08-17|
1G1ZD5STXJF294515|2018|Chevrolet|Malibu|LT|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||68602|TRUE|FALSE|Sedan|FWD|1.5L|Gasoline|White|Cloth|https://xnationautogroup.com|2021-12-21|2022-08-17|2022-08-17|
1GCVKREC8GZ246081|2016|Chevrolet|Silverado 1500|LT|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||102964|TRUE|FALSE||4WD|5.3L||Black||https://xnationautogroup.com|2022-04-23|2022-08-17|2022-08-17|
3C4PDCGG9GT148927|2016|Dodge|Journey|Crossroad|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|SUV|Front-wheel|V-6 Cylinders|F|White [white]|Black|https://maxautosalesla.com|2022-05-14|2022-08-17|2022-08-17|
JN6ND06S9FW030183|1985|Nissan|Pickup|[Unspecified]|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|14995|212939|TRUE|FALSE|2dr Extended Cab SB|RWD|2.4L I4|Gasoline|Tan|Tan|https://www.clearchoiceautomotive.com|2022-05-26|2022-08-17|2022-05-28|
3FA6P0H79GR142970|2016|Ford|Fusion|SE|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||77727|TRUE|FALSE|||||||https://xnationautogroup.com|2022-07-30|2022-08-17|2022-08-17|
1G6AE5S32D0126413|2013|Cadillac|ATS|PREMIUM|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||77273|TRUE|FALSE|||||||https://xnationautogroup.com|2022-07-28|2022-08-17|2022-08-17|
JA32U2FU2HU012026|2017|Mitsubishi|Lancer|ES|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|12999|129235|TRUE|FALSE|ES 4dr Sedan CVT|FWD|2.0L I4||Black|N/a|https://mannygmotorssa.com|2022-07-07|2022-08-15||
1GTG6DE31G1185347|2016|GMC|Canyon|SLT|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238|29999|111439|TRUE|FALSE|SLT|4WD|3.6L|Gasoline|Black|N/a|https://xnationautogroup.com|2022-04-01|2022-08-17|2022-08-17|
JTMZFREVXFJ059655|2015|Toyota|RAV4|LE|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||77553|TRUE|FALSE|SUV|FWD|2.5L|Regular Unleaded|White|Other|https://xnationautogroup.com|2022-05-18|2022-08-17|2022-08-17|
WMWMF7C59ATZ34445|2010|MINI|Hardtop|S|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|8990|80603|TRUE|FALSE|Hatchback|fwd|172 hp 1.6L I4|Gasoline|Black|Black|https://www.clearchoiceautomotive.com|2022-07-22|2022-08-14||
1FT7W2BTXLED32051|2020|Ford|Super Duty F-250 SRW||Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||||https://maxautosalesla.com|2022-07-21|2022-08-17|2022-08-17|
1FA6P8TH1J5122527|2018|Ford|Mustang|[Unspecified]|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|24999|70628|TRUE|FALSE||RWD|2.3L I4||Blue|N/a|https://mannygmotorssa.com|2022-04-20|2022-08-14||
KNDJN2A2XJ7621241|2018|Kia|Soul|Base|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|17995|73686|TRUE|FALSE|4dr Wagon (1.6L 4cyl 6A)|front wheel drive|130 hp 1.6L I4|Gasoline|Clear White|Black Cloth|https://maxautosalesla.com|2022-04-07|2022-08-17|2022-08-17|
1FMHK7D81CGA72712|2012|Ford|Explorer|XLT|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||71903|TRUE|FALSE||FWD|3.5L||Black||https://xnationautogroup.com|2022-05-27|2022-08-17|2022-08-17|
3GCPCREC4FG429532|2015|Chevrolet|Silverado 1500|LT|Caraway Ford Gonzales|1405 E Sarah Dewitt Dr|Gonzales|TX|78629|15950|174677|TRUE|FALSE|pickup_truck|RWD|355 hp 5.3L V8|Gasoline|Gray Exterior||https://www.carawayfordgonzales.com|2022-08-17|2022-08-17|2022-08-17|
KMHDH4AE6GU512372|2016|Hyundai|Elantra|SE|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|14995||TRUE|FALSE|SE 4dr Sedan 6A|FWD|1.8L I4|Gasoline|Black Diamond|Gray|https://maxautosalesla.com|2022-04-07|2022-08-17|2022-08-17|
JF1GPAH64D2839030|2013|Subaru|Impreza|2.0i Limited Hatchback|Max Auto Sales|5811 El Cajon Blvd|San Diego|CA|92115|9995|156680|TRUE|FALSE|Hatchback|All-Wheel Drive|2L H4|Gasoline|White||https://www.maxautosales.info|2022-08-16|2022-08-17||
5TFAZ5CN3GX011977|2016|Toyota|Tacoma TRD Sport Crew Cab Short Bed Truck|V6 24V PDI DOHC|Caraway Ford Gonzales|1405 E Sarah Dewitt Dr|Gonzales|TX|78629|28950|85721|TRUE|FALSE|pickup_truck|4X2|278 hp 3.5L V6|Gasoline|White|Gray|https://www.carawayfordgonzales.com|2022-02-12|2022-08-17|2022-08-17|
5TBET38126S529542|2006|Toyota|Tundra||Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||239819|TRUE|FALSE|||||||https://maxautosalesla.com|2022-07-16|2022-08-17|2022-08-17|
1FMJU1HT8FEF00234|2015|Ford|Expedition|XLT|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|24999|104197|TRUE|FALSE|4x2 XLT 4dr SUV|4X2|3.5L V6||Silver|N/a|https://mannygmotorssa.com|2022-04-27|2022-08-14||
3GCPCREC8FG484498|2015|Chevrolet|Silverado 1500 LT w/2LT Truck Crew Cab|V-8 Cylinder|Weber Motor Company|1402 E Broadway St|Cuero|TX|77954|30995|55754|TRUE|FALSE|pickup_truck|4X2|355 hp 5.3L V8|Gasoline|Silver|Jet Black Cloth|https://www.webermotorcompany.com|2022-08-06|2022-08-17|2022-08-17|
1N6AA1F49HN502678|2017|Nissan|Titan xD|SL|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||129316|TRUE|FALSE||four wheel drive|5.6L||Gray||https://xnationautogroup.com|2022-07-30|2022-08-17|2022-08-17|
1FMSK8FH6NGA74435|2022|Ford|Explorer Limited SUV|Limited|Caraway Ford Gonzales|1405 E Sarah Dewitt Dr|Gonzales|TX|78629|53370|0|FALSE|FALSE|SUV|Intelligent 4WD|2.3L EcoBoost I-4 Engine with Auto Start-Stop Technology|Gasoline|Star White|Ebony|https://www.carawayfordgonzales.com|2022-06-03|2022-08-17|2022-08-17|in_transit
WAUBFAFL5EN037759|2014|Audi|A4|2.0T quattro Premium AWD|Max Auto Sales|5811 El Cajon Blvd|San Diego|CA|92115|13995|109100|TRUE|FALSE|Sedan|All-Wheel Drive|220 hp 2L I4 Flex Fuel Vehicle|Flex Fuel Vehicle|Gray|Black|https://www.maxautosales.info|2022-05-02|2022-08-18|2022-05-19|
JTEDS41A182036429|2008|Toyota|Highlander|Base|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||184091|TRUE|FALSE|4dr SUV|FWD|3.5L V6|Gasoline|White|N/a|https://maxautosalesla.com|2022-06-22|2022-08-17|2022-08-17|
5XYPGDA56LG617882|2020|Kia|Sorento|S|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||76743|TRUE|FALSE||AWD|3.3L||Gray||https://xnationautogroup.com|2022-04-09|2022-08-17|2022-08-17|
JTHBE1BL8D5010418|2013|Lexus|GS 350|350 F SPORT|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||123410|TRUE|FALSE|Sedan|RWD|3.5L|Gasoline|Black|Red|https://xnationautogroup.com|2021-12-03|2022-08-17|2022-08-17|
4S4BP61C777320364|2007|Subaru|Legacy Wagon|Outback Basic|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||110136|TRUE|FALSE|2.5i Basic 4dr Wagon AWD (2.5L 4cyl 4A)|all wheel drive|gas||Obsidian Black Pearl|Off Black Cloth|https://maxautosalesla.com|2022-03-26|2022-08-17|2022-08-17|
1FMCU0HX9DUB57152|2013|Ford|Escape|SEL|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|12995|108302|TRUE|FALSE|crossover|Front-Wheel Drive|1.6L I4|Gasoline|Black||https://maxautosalesla.com|2021-12-18|2022-08-17|2022-08-17|
1HGCM563X6A031003|2006|Honda|Accord Sedan|LX SE|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||118661|TRUE|FALSE|Sedan|FWD|2.4L I4 16V MPFI DOHC||Blue||https://maxautosalesla.com|2022-07-26|2022-08-17|2022-08-17|
JTDDR32T130152941|2003|Toyota|Celica|GT|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|5995|204925|TRUE|FALSE|GT 2dr Hatchback|FWD|1.8L I4|Gasoline|Silver|Gray|https://www.clearchoiceautomotive.com|2022-07-13|2022-08-17||
3FA6P0HDXHR367017|2017|Ford|Fusion|SE|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||106237|TRUE|FALSE||FWD|1.5L||Black||https://xnationautogroup.com|2022-05-20|2022-08-17|2022-08-17|
1FTEW1CPXMKD81840|2021|Ford|F-150 XL Truck SuperCrew Cab|V-6 Cylinder|Weber Motor Company|1402 E Broadway St|Cuero|TX|77954|39995|21069|TRUE|FALSE|pickup_truck|4X2|V-6 Cylinders||Black|Black|https://www.webermotorcompany.com|2022-07-08|2022-08-17|2022-08-17|
3N1AB7AP6GY311602|2016|Nissan|Sentra|S|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|13999|121887|TRUE|FALSE|S 4dr Sedan CVT|FWD|1.8L I4||Red|N/a|https://mannygmotorssa.com|2022-04-17|2022-08-17||
5XYKT3A69FG600068|2015|Kia|Sorento|LX|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||4|TRUE|FALSE|||||||https://maxautosalesla.com|2022-04-06|2022-08-17|2022-08-17|
2G1FB1ED7B9151294|2011|Chevrolet|Camaro LT|1LT|Clear Choice Automotive|3803 San Pedro Ave|San Antonio|TX|78212|15995|111234|TRUE|FALSE|Coupe|Rear-wheel Drive|3.6L V6 24V GDI DOHC|Gasoline|Green|Black|https://clearchoiceautosales.net|2022-07-21|2022-08-17|2022-08-17|
1GNKRJKD4HJ319290|2017|Chevrolet|Traverse|Premier|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|25999|123441|TRUE|FALSE|Premier 4dr SUV|FWD|3.6L V6||Black|N/a|https://mannygmotorssa.com|2022-04-10|2022-08-14||
KL4CJBSBXFB140438|2015|Buick|Encore|Convenience|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|SUV|FWD|ECOTEC I4 SMPI DOHC Turbocharged VVT|Gasoline|Quicksilver Metallic|Ebony|https://maxautosalesla.com|2022-04-15|2022-08-17|2022-08-17|
JHMES96643S016094|2003|Honda|Civic|Hybrid|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|Hybrid 4dr Sedan (1.3L 4cyl Gasoline/electric hybrid CVT)|front wheel drive|hybrid||Tan||https://maxautosalesla.com|2022-06-10|2022-08-17|2022-08-17|
3FAHP39514R101929|2004|Ford|Focus SVT|SVT|Max Auto Sales|423 N Broadway|Santa Maria|CA|93454|12499|66431|TRUE|FALSE|2dr Hatchback|FWD|2.0L I4||Silver|Black|https://maxautosm.com|2022-08-11|2022-08-15||
3C6JR7AG8HG675379|2017|Ram|Ram Pickup 1500|[Unspecified]|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|26999|94457|TRUE|FALSE|ST|4X4|3.6L V6||Blue|N/a|https://mannygmotorssa.com|2022-04-20|2022-08-14||
KMHD35LH3GU306194|2016|Hyundai|Elantra GT|FWD|Max Auto Sales|5811 El Cajon Blvd|San Diego|CA|92115|11995|78850|TRUE|FALSE|Hatchback|Front-Wheel Drive|173 hp 2L I4|Gasoline|White||https://www.maxautosales.info|2022-08-17|2022-08-17||
WVWMM7AJ0CW046743|2012|Volkswagen|Golf|TDI with Tech Package 2dr|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|6995|159512|TRUE|FALSE|Hatchback|Front-Wheel Drive|140 hp 2L I4 Diesel|Diesel|Silver|Gray|https://www.clearchoiceautomotive.com|2022-07-13|2022-08-17||
1C6RR6JT8HS582204|2017|Ram|Ram Pickup 1500|Laramie|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|28999|151999|TRUE|FALSE|4x2 Laramie 4dr Quad Cab 6.3 ft. SB Pickup|4X2|5.7L V8||White|N/a|https://mannygmotorssa.com|2022-04-30|2022-08-14||
3FMCR9B60NRD93462|2022|Ford|Bronco Sport Big Bend SUV|Big Bend®|Weber Motor Company|1402 E Broadway St|Cuero|TX|77954|34060||FALSE|FALSE|SUV|4x4|1.5L EcoBoost® with Auto Start-Stop Technology|Gasoline|Carbonized Gray Metallic|Unique Cloth With Easy Clean Material - Medium Dark Slate|https://www.webermotorcompany.com|2022-08-07|2022-08-17|2022-08-17|in_transit
1C6RR6LT2ES122674|2014|Ram|1500|Big Horn|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||176452|TRUE|FALSE|pickup_truck|4X2|395 hp 5.7L V8|Gasoline|Black Clearcoat|Black/diesel Gray Cloth|https://maxautosalesla.com|2022-07-21|2022-08-17|2022-08-17|
5TEKU72N47Z363104|2007|Toyota|Tacoma Double CAB|PreRunner Double Cab V6 LB|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|12995|239883|TRUE|FALSE|pickup_truck|Rear-Wheel Drive|236 hp 4L V6|Gasoline|Blue|Gray|https://www.clearchoiceautomotive.com|2022-08-04|2022-08-17||
5NPD84LF3LH577839|2020|Hyundai|Elantra|SEL|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||42739|TRUE|FALSE||FWD|2.0L||White||https://xnationautogroup.com|2022-07-30|2022-08-17|2022-08-17|
1FMCU9D70AKC59506|2010|Ford|Escape|XLT|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|Sport Utility|AWD|2.5L I4|Gasoline|Other|Other|https://maxautosalesla.com|2022-05-25|2022-08-17|2022-08-17|
5J6RM3H50EL002781|2014|Honda|CR-V|EX|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|16295|122618|TRUE|FALSE|EX 4dr SUV (2.4L 4cyl 5A)|front wheel drive|gas|Gasoline|Red (maroon)||https://maxautosalesla.com|2021-12-18|2022-08-17|2022-08-17|
1G1ZD5ST8LF094672|2020|Chevrolet|Malibu LT|LT|Clear Choice Automotive|3803 San Pedro Ave|San Antonio|TX|78212|21996|52107|TRUE|FALSE|Sedan|FWD|160 hp 1.5L I4|Gasoline|Northsky Blue Metallic Exterior|Black|https://clearchoiceautosales.net|2022-04-09|2022-08-18|2022-08-17|
JTEBU5JR1D5139002|2013|Toyota|4Runner|Limited|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|19995|286802|TRUE|FALSE|AWD Limited 4dr SUV|4wd|4.0L V6|Gasoline|Silver|Black|https://www.clearchoiceautomotive.com|2022-04-16|2022-08-18|2022-06-07|
JF1SG69626H735528|2006|Subaru|Forester||Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|9995||TRUE|FALSE|||||||https://www.clearchoiceautomotive.com|2022-07-27|2022-08-14||
JTEBU11F870053346|2007|Toyota|FJ Cruiser|[Unspecified]|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|13995|249482|TRUE|FALSE|4dr SUV 4WD (4L V6 5A)|4WD|4.0L V6|Gasoline|Burgundy|Black|https://www.clearchoiceautomotive.com|2022-02-25|2022-08-17||
1FTEW1CF8GKF03302|2016|Ford|F-150|[Unspecified]|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|26999|160862|TRUE|FALSE|Super Crew|4X2|5.0L V8||Gray|N/a|https://mannygmotorssa.com|2022-04-08|2022-08-15||
3GCPCREC3GG280211|2016|Chevrolet|Silverado 1500|LT|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||166451|TRUE|FALSE||RWD|5.3L||Black||https://xnationautogroup.com|2022-06-29|2022-08-17|2022-08-17|
JTDKN3DU4A0080171|2010|Toyota|Prius|V|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|12898|165346|TRUE|FALSE|V 4dr Hatchback|fwd|1.8L I4|Hybrid|White|Gray|https://www.clearchoiceautomotive.com|2022-04-04|2022-08-17|2022-04-20|
5FNYF3H59BB032565|2011|Honda|Pilot|EX-L|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|13995|139995|TRUE|FALSE|EX-L 4dr SUV (3.5L 6cyl 5A)|front wheel drive|gas|Gasoline|Taffeta White|N/a|https://maxautosalesla.com|2022-05-15|2022-08-17|2022-08-17|
1FM5K7F81FGC24024|2015|Ford|Explorer|LIMITED|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||118716|TRUE|FALSE||FWD|3.5L||White||https://xnationautogroup.com|2022-07-30|2022-08-17|2022-08-17|
5XXGN4A73DG146190|2013|Kia|Optima|EX|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||85783|TRUE|FALSE|EX 4dr Sedan (2.4L 4cyl 6A)|front wheel drive|gas||Bright Silver Metallic|Gray|https://maxautosalesla.com|2022-05-08|2022-08-17|2022-08-17|
JF2SKAPC0KH577478|2019|Subaru|Forester|2.5i Sport AWD|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|17995|146065|TRUE|FALSE|crossover|All-Wheel Drive|182 hp 2.5L H4|Gasoline|Black (charcoal)|Black|https://www.clearchoiceautomotive.com|2022-07-06|2022-08-17||
KNAFK4A67F5408020|2015|Kia|Forte|LX|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||||https://maxautosalesla.com|2022-08-13|2022-08-17|2022-08-17|
5YFBU4EE4DP184640|2013|Toyota|Corolla|4dr Sdn Auto LE|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||127157|TRUE|FALSE|Sedan/5 seats|Front-wheel|I-4 Cylinders|Gasoline|Magnetic Gray|Dark Charcoal|https://maxautosalesla.com|2022-05-21|2022-08-17|2022-08-17|
1G11F5RR0DF114822|2013|Chevrolet|Malibu|ECO|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||||https://maxautosalesla.com|2022-08-12|2022-08-17|2022-08-17|
3GYFNAEY9BS663900|2011|Cadillac|SRX Luxury|Luxury Collection|Clear Choice Automotive|3803 San Pedro Ave|San Antonio|TX|78212|10995|125317|TRUE|FALSE|SUV|Front-wheel Drive|3.0L V6 24V GDI DOHC|Gasoline|Black|Black|https://clearchoiceautosales.net|2022-07-27|2022-08-17|2022-08-17|
KM8JU3AC6BU177839|2011|Hyundai|Tucson|Limited|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||130327|TRUE|FALSE||FWD||Gasoline|Black||https://maxautosalesla.com|2022-07-23|2022-08-17|2022-08-17|
3GTEC13J87G502414|2007|GMC|Sierra 1500|SLE1|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||||https://maxautosalesla.com|2022-07-27|2022-08-17|2022-08-17|
4JGFB4JB1LA180465|2020|Mercedes-Benz|GLE 350 SUV|I-4 Cylinder|Weber Motor Company|1402 E Broadway St|Cuero|TX|77954|54995|25142|TRUE|FALSE|SUV|4x2|I-4 Cylinders|Gasoline|White|Black|https://www.webermotorcompany.com|2022-08-06|2022-08-17|2022-08-17|
1GNEC13Z72R144566|2002|Chevrolet|Tahoe|1500|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||177150|TRUE|FALSE||RWD|5.3L||Blue||https://xnationautogroup.com|2022-06-07|2022-08-17|2022-08-17|
3D4PG5FV6AT151958|2010|Dodge|Journey|SXT|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||||https://maxautosalesla.com|2022-07-28|2022-08-17|2022-08-17|
3GCUYHEL5MG169976|2021|Chevrolet|Silverado 1500 High Country Truck Crew Cab|V-8 Cylinder|Weber Motor Company|1402 E Broadway St|Cuero|TX|77954|59995|20249|TRUE|FALSE|pickup_truck|Four-Wheel Drive|V-8 Cylinders||White|Black/brown Leather|https://www.webermotorcompany.com|2022-01-27|2022-08-17|2022-08-17|
4T1BK1EB0DU035635|2013|Toyota|Avalon||Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||Gray||https://maxautosalesla.com|2022-06-14|2022-08-17|2022-08-17|
1NXBU40E69Z131175|2009|Toyota|Corolla|LE|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||110902|TRUE|FALSE|LE 4dr Sedan (1.8L 4cyl 4A)|front wheel drive|1.8L I4|Gasoline|Super White|Ash Cloth|https://maxautosalesla.com|2022-07-16|2022-08-17|2022-08-17|
1C6SRFDT2LN253664|2020|Ram|1500|LARAMIE|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||64840|TRUE|FALSE||4WD|5.7L||Silver||https://xnationautogroup.com|2022-07-30|2022-08-17|2022-08-17|
1FM5K7D85FGA45245|2015|Ford|Explorer|XLT|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||113342|TRUE|FALSE|SUV|FWD|3.5L||White|Charcoal Black|https://xnationautogroup.com|2022-05-13|2022-08-17|2022-08-17|
2C3CDZAG3JH241635|2018|Dodge|Challenger|SXT|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238|20999|116824|TRUE|FALSE|SXT 2dr Coupe|RWD|3.6L|RWD|Gray Exterior|N/a|https://xnationautogroup.com|2022-04-12|2022-08-17|2022-08-17|
1FTCR10U3SPA01343|1995|Ford|Ranger|XLT Standard Cab LB|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|8995|85460|TRUE|FALSE|pickup_truck|Rear-Wheel Drive|3L V6|Gasoline|Teal|Gray|https://www.clearchoiceautomotive.com|2022-08-11|2022-08-16||
5TDZY67A88S015369|2008|Toyota|Sequoia|Platinum|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|17995|176928|TRUE|FALSE|4x2 Platinum 4dr SUV|4X2|5.7L V8|Gasoline|White|Gray|https://www.clearchoiceautomotive.com|2022-06-22|2022-08-17||
5UXZW0C5XCL672971|2012|BMW|X5|xDrive35d|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|14995|122007|TRUE|FALSE|AWD xDrive35d 4dr SUV|AWD|3.0L I6 Twin Turbocharger|Diesel|Black|Gray|https://www.clearchoiceautomotive.com|2022-08-02|2022-08-17||
KMHTC6AE5FU218935|2015|Hyundai|Veloster|TURBO|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||116174|TRUE|FALSE||FWD|1.6L||Red||https://xnationautogroup.com|2022-04-09|2022-08-17|2022-08-17|
1VWCN7A3XCC038724|2012|Volkswagen|Passat|TDI SEL Premium|Clear Choice Automotive|3803 San Pedro Ave|San Antonio|TX|78212|16995|67769|TRUE|FALSE|Sedan|Front-Wheel Drive|2.0L I4 16V DDI DOHC Turbo Diesel|Diesel|Candy White|Titan Black|https://clearchoiceautosales.net|2022-08-17|2022-08-17|2022-08-17|
1C6RD7FT9CS245109|2012|Ram|1500|ST|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|10990|221578|TRUE|FALSE|4x4 ST 4dr Quad Cab 6.3 ft. SB Pickup|4wd|5.7L V8|Gasoline|White|Gray|https://www.clearchoiceautomotive.com|2022-01-30|2022-08-17|2022-02-27|
1G1PA5SH2F7243734|2015|Chevrolet|Cruze|LS Auto|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|14999|113892|TRUE|FALSE|LS Automatic 4dr Sedan w/1SB|FWD|1.8L I4||Red|N/a|https://mannygmotorssa.com|2022-04-09|2022-08-15||
1FTDF15Y7RLA43573|1994|Ford|F-150|XLT|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|4995|168577|TRUE|FALSE|2dr XLT Standard Cab LB|RWD|4.9L I6|Gasoline|Off White|Gray|https://www.clearchoiceautomotive.com|2022-07-25|2022-08-17||
5NPDH4AE4GH689498|2016|Hyundai|Elantra|SE|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|14995||TRUE|FALSE|Sedan|Front-Wheel Drive|145 hp 1.8L I4|Gasoline|Symphony Silver|Gray Premium Cloth Premium Cloth|https://maxautosalesla.com|2022-04-07|2022-08-17|2022-08-17|
ML32A3HJ1HH014705|2017|Mitsubishi|Mirage ES|ES|Clear Choice Automotive|3803 San Pedro Ave|San Antonio|TX|78212|11495|70519|TRUE|FALSE|Hatchback|Front-Wheel Drive|1.2L I3 12V MPFI DOHC|Gasoline|Pearl White|Black|https://clearchoiceautosales.net|2022-08-16|2022-08-18|2022-08-17|
1G1JA5SH3C4222085|2012|Chevrolet|Sonic|LS|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||||https://maxautosalesla.com|2022-08-12|2022-08-17|2022-08-17|
5NPDH4AE3DH453145|2013|Hyundai|Elantra|GLS|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|13995|106379|TRUE|FALSE|GLS 4dr Sedan 6A|FWD|1.8L I4|Gasoline|Radiant Silver|Gray|https://maxautosalesla.com|2022-04-07|2022-08-17|2022-08-17|
4T1BF32K95U608652|2005|Toyota|Camry XLE V6 Sedan|4dr Sdn XLE V6 Auto|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503||190161|TRUE|FALSE||Front-wheel|V-6 Cylinders|Gasoline|Phantom Gray Pearl|Stone|https://maxautosalesla.com|2022-06-11|2022-08-17|2022-08-17|
1FTFW1E88NFB95685|2022|Ford|F-150 Lariat Truck|LARIAT|Weber Motor Company|1402 E Broadway St|Cuero|TX|77954|68895||FALSE|FALSE|pickup_truck|4x4|3.5L V6 EcoBoost® with Auto Start-Stop Technology Engine|Gasoline|Smoked Quartz Metallic Tinted Clearcoat|Leather - Black|https://www.webermotorcompany.com|2022-07-20|2022-08-17|2022-08-17|in_transit
